id;company_name;user_name;jhi_type;active_ind
1;interactive Accountability;core Wisconsin;monitor;false
2;Investor;Borders Computers cutting-edge;azure firewall;false
3;Program out-of-the-box Global;Wooden invoice;Dynamic;true
4;Implementation Trafficway Slee;AvonXX;web-enabled;true
5;pink;Tunnel client-server;Books;true
6;withdrawal;Cambridgeshire deposit;Awesome Switchable applications;true
7;dedicated;USBXXX;maximize Tasty Metal Pizza Rubber;false
8;methodologies;back up Borders Ohio;Facilitator invoice Streamlined;false
9;Refined Metal Car bi-direction;Berkshire Executive;Investment Account Multi-tiered;false
10;Colorado Berkshire Rue;Ecuador;Borders Unbranded Concrete Bike fuchsia;false
